                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.2467,                 1.1485,                 1.1299,                0.93092,                0.95676,                 0.9895,                0.67375,                 1.0896,                 0.9967,                 1.1133,               0.023003,              0.0070029,              0.0070029
                     85,                 1.0353,                 1.0221,                 1.0464,                0.93092,                0.95676,                 0.9895,                0.67375,                 1.0896,                 0.9967,                 1.1133,               0.022069,              0.0070694,              0.0070694
                     86,                 1.1748,                 1.0048,                 1.1519,                0.93092,                0.95676,                 0.9895,                0.67375,                 1.0896,                 0.9967,                 1.1133,               0.021136,              0.0071356,              0.0071356
                     87,                 1.0729,                 1.0088,                 1.0997,                0.93997,                0.97978,                0.98125,                0.64099,                 1.2092,                 1.0401,                 1.1469,               0.020201,              0.0072013,              0.0072013
                     88,                 1.1662,                 1.0717,                   1.14,                0.93997,                0.97978,                0.98125,                0.64099,                 1.2092,                 1.0401,                 1.1469,               0.019267,              0.0072667,              0.0072667
                     89,                 1.1754,                  1.077,                 1.1342,                0.93997,                0.97978,                0.98125,                0.64099,                 1.2092,                 1.0401,                 1.1469,               0.018332,              0.0073316,              0.0073316
                     90,                 1.3496,                 1.3224,                 1.2429,                0.93997,                0.97978,                0.98125,                0.64099,                 1.2092,                 1.0401,                 1.1469,               0.017396,              0.0073962,              0.0073962
                     91,                 1.1915,                 1.0109,                 1.0877,                0.90803,                0.93521,                0.97898,                 0.6941,                 1.1275,                  1.024,                  1.091,                0.01646,              0.0074604,              0.0074604
                     92,                 1.2248,                 1.0456,                 1.1052,                0.90803,                0.93521,                0.97898,                 0.6941,                 1.1275,                  1.024,                  1.091,               0.015524,              0.0075241,              0.0075241
                     93,                  1.223,                 1.1957,                 1.2251,                0.90803,                0.93521,                0.97898,                 0.6941,                 1.1275,                  1.024,                  1.091,               0.014587,              0.0075875,              0.0075875
                     94,                  1.209,                0.99409,                 1.0982,                0.90803,                0.93521,                0.97898,                 0.6941,                 1.1275,                  1.024,                  1.091,                0.01365,              0.0076505,              0.0076505
                     95,                 1.1795,                0.98611,                 1.0774,                0.91586,                0.99684,                0.96558,                0.61355,                 1.3655,                 1.0409,                 1.2263,               0.012713,              0.0077131,              0.0077131
                     96,                 1.2604,                 1.1538,                 1.2172,                0.91586,                0.99684,                0.96558,                0.61355,                 1.3655,                 1.0409,                 1.2263,               0.011775,              0.0077752,              0.0077752
                     97,                 1.3978,                 1.3065,                 1.2622,                0.91586,                0.99684,                0.96558,                0.61355,                 1.3655,                 1.0409,                 1.2263,               0.010837,               0.007837,               0.007837
                     98,                 1.4057,                 1.4945,                 1.2396,                0.91586,                0.99684,                0.96558,                0.61355,                 1.3655,                 1.0409,                 1.2263,              0.0098984,              0.0078984,              0.0078984
                     99,                 1.2543,                 1.0977,                 1.1782,                0.93141,                0.96089,                 0.9785,                0.66912,                  1.092,                 1.0492,                 1.1336,              0.0089594,              0.0079594,              0.0079594
                    100,                 1.1684,                0.98727,                 1.0934,                0.93141,                0.96089,                 0.9785,                0.66912,                  1.092,                 1.0492,                 1.1336,                0.00802,                0.00802,                0.00802
                    101,                 1.1709,                0.95188,                 1.1312,                0.93141,                0.96089,                 0.9785,                0.66912,                  1.092,                 1.0492,                 1.1336,                0.00802,                0.00802,                0.00802
                    102,                 1.1487,                0.91076,                 1.0594,                0.93141,                0.96089,                 0.9785,                0.66912,                  1.092,                 1.0492,                 1.1336,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.1433,                 1.1041,                 1.1224,                0.83609,                0.87752,                0.95263,                0.54665,                 1.5783,                 1.3793,                 1.3581,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.2177,                 1.0607,                 1.1426,                0.83609,                0.87752,                0.95263,                0.54665,                 1.5783,                 1.3793,                 1.3581,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.3599,                 1.1451,                 1.1291,                0.83609,                0.87752,                0.95263,                0.54665,                 1.5783,                 1.3793,                 1.3581,              0.0079408,              0.0079408,              0.0079408
                    106,                  1.228,                 1.0659,                 1.1101,                0.83609,                0.87752,                0.95263,                0.54665,                 1.5783,                 1.3793,                 1.3581,               0.007921,               0.007921,               0.007921
                    107,                 1.4258,                 1.0531,                 1.1935,                0.89019,                0.95158,                0.97483,                0.55059,                 1.5363,                 1.3197,                 1.3608,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.2656,                 1.0351,                 1.1302,                0.89019,                0.95158,                0.97483,                0.55059,                 1.5363,                 1.3197,                 1.3608,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.2842,                 1.0166,                 1.1919,                0.89019,                0.95158,                0.97483,                0.55059,                 1.5363,                 1.3197,                 1.3608,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.0869,                0.97062,                 1.0721,                0.89019,                0.95158,                0.97483,                0.55059,                 1.5363,                 1.3197,                 1.3608,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.2202,                 1.1124,                 1.1938,                0.91595,                0.91872,                0.96785,                 0.6205,                 1.2872,                 1.2467,                 1.2362,               0.007822,               0.007822,               0.007822
                    112,                 1.1177,                 1.0282,                 1.1224,                0.91595,                0.91872,                0.96785,                 0.6205,                 1.2872,                 1.2467,                 1.2362,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.2068,                 1.0797,                  1.188,                0.91595,                0.91872,                0.96785,                 0.6205,                 1.2872,                 1.2467,                 1.2362,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.1434,                 1.0477,                 1.1418,                0.91595,                0.91872,                0.96785,                 0.6205,                 1.2872,                 1.2467,                 1.2362,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.1916,                 1.0241,                  1.157,                0.91854,                0.94923,                  0.984,                0.62288,                 1.3312,                 1.2923,                 1.2674,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.0845,                 1.2303,                 1.1908,                0.91854,                0.94923,                  0.984,                0.62288,                 1.3312,                 1.2923,                 1.2674,               0.007723,               0.007723,               0.007723
                    117,                 1.1637,                0.95515,                 1.0119,                0.91854,                0.94923,                  0.984,                0.62288,                 1.3312,                 1.2923,                 1.2674,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.2792,                 1.0922,                 1.1524,                0.91854,                0.94923,                  0.984,                0.62288,                 1.3312,                 1.2923,                 1.2674,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.2346,                0.93816,                 1.1497,                0.92137,                0.97879,                 0.9895,                0.57189,                 1.5098,                 1.1181,                 1.3424,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.1991,                 1.0934,                 1.1313,                0.92137,                0.97879,                 0.9895,                0.57189,                 1.5098,                 1.1181,                 1.3424,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.1749,                 1.0117,                 1.1832,                0.92137,                0.97879,                 0.9895,                0.57189,                 1.5098,                 1.1181,                 1.3424,               0.007624,               0.007624,               0.007624
                    122,                 1.2503,                 1.1798,                 1.1163,                0.92137,                0.97879,                 0.9895,                0.57189,                 1.5098,                 1.1181,                 1.3424,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.1726,                 1.0779,                 1.1439,                 0.9129,                0.97056,                0.98998,                0.67567,                 1.1468,                 1.0311,                  1.171,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.2268,                 1.0353,                 1.1223,                 0.9129,                0.97056,                0.98998,                0.67567,                 1.1468,                 1.0311,                  1.171,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.3311,                  1.107,                 1.1836,                 0.9129,                0.97056,                0.98998,                0.67567,                 1.1468,                 1.0311,                  1.171,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.1039,                0.93401,                 1.0702,                 0.9129,                0.97056,                0.98998,                0.67567,                 1.1468,                 1.0311,                  1.171,               0.007525,               0.007525,               0.007525
                      0,                 2.0421,                 3.5649,                 1.8649,                0.54137,                0.19828,                0.14453,                0.05053,                  1.824,                 3.2087,                 1.4352,                 0.0982,                 0.0002,                 0.0002
                      1,                  1.972,                 3.6636,                 1.8258,                0.54788,                0.19297,                0.18467,                0.06583,                 1.7701,                 3.1775,                 1.4158,               0.095499,             0.00049901,             0.00049901
                      2,                  1.912,                 3.3583,                 1.7336,                0.82856,                0.12069,                0.27483,                0.11535,                 1.7047,                 3.1055,                 1.4067,               0.092797,             0.00079683,             0.00079683
                      3,                 1.7788,                 3.3143,                 1.6349,                0.87915,                0.18103,                0.41222,                0.18929,                 1.6357,                 2.9054,                 1.4259,               0.090093,              0.0010935,              0.0010935
                      4,                 1.7688,                 2.9987,                 1.6912,                0.87258,                0.44266,                0.50442,                  0.248,                   1.57,                 2.6246,                 1.4574,               0.087389,              0.0013889,              0.0013889
                      5,                 1.7702,                 2.8055,                 1.6803,                0.91703,                0.44704,                0.57023,                0.28508,                 1.5653,                 2.3578,                 1.4958,               0.084683,              0.0016832,              0.0016832
                      6,                 1.7086,                   2.66,                  1.676,                0.98078,                0.48858,                0.66679,                0.33766,                 1.5876,                 1.9423,                 1.5652,               0.081976,              0.0019762,              0.0019762
